	Feature ID	S10-V5-Q-B61-calc	S14-V5-P-B17-calc	S15-V5-R-B78-calc	S16S17-V5-K1-G12-root	S16S17-V5-K2-G12-root	S18S19-V5-L-B17-root	S20S21-V5-M-B61-root	S22S23-V5-N-B78-root	S8-V5-O-G12-calc	Taxon
37	a30b24a1a8470d185fe851e43aac8b56	91.0	66.0	9.0	0.0	0.0	0.0	0.0	0.0	90.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales_877923; f__Flavobacteriaceae
38	b25bbf5411fdb4852cd8fa50aa72b6f6	0.0	0.0	0.0	115.0	137.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_595422; f__Burkholderiaceae_A_595422
39	ea481f629be4cf9a04ae86311c675003	0.0	0.0	0.0	137.0	112.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_501396; f__Rhizobiaceae_A_499470
40	a4d9ad681b76206e3bebb99e14353a7f	0.0	0.0	0.0	0.0	0.0	0.0	234.0	0.0	0.0	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Agromyces_B_382064
41	956f429027fe8c2bd44bc5945dafd7ad	0.0	0.0	0.0	43.0	50.0	78.0	51.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_504723; f__Aestuariivirgaceae
42	f171f695e67dafdfa3bc4ea45e48c453	91.0	48.0	64.0	0.0	0.0	18.0	0.0	0.0	0.0	d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae_409200; g__Flexilinea; s__Flexilinea sp902786265
43	e82c9093693e7629e694f7ef9d6989f6	0.0	0.0	0.0	135.0	85.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales_650611; f__Pseudomonadaceae
44	c23f09b909a3082dfc2f2dbdbc7664bd	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	208.0	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Anaerovoracaceae; g__RUG754; s__RUG754 sp900315895
45	7835aaf22fccec0558496fbc82288e5a	25.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	154.0	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Anaerovoracaceae; g__Hornefia
46	b09eb9b712d8da895f0dbee427a1a591	0.0	0.0	0.0	0.0	0.0	40.0	111.0	48.0	0.0	d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales
